client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
29b8505586cd43382cd695da6b943f401104be710a5b60e814ac5fe7e06b39459cf8fe1701ca83f8154b3ccd749df7c2aef33ff23950bb1a135b1e1c393dbcf6	common_voice_en_41281293.mp3	f17037ded2368b480137e6de57109b67c2c41efb3b8ce03636ef8b3b801b7218	He also contributed to the leading Hebrew and Yiddish papers of his time.		0	2	fourties	female_feminine	Scottish English		en	
79d543138d8b1a49e9c2e74ff9a129bd3f34bd597cff59f8485b011eac15cb6113062d17df49c5b649e4c4793ebce6bb76488cc81bf22a7de0f1a37eaeff9b18	common_voice_en_41289648.mp3	f180243acd5a987bdf21f2ccbaccf7bbe60d9e8babf107361adba6317d854254	It had a dark-blue exterior and interior upholstery in royal blue and gray.		0	2	twenties		United States English		en	
79d543138d8b1a49e9c2e74ff9a129bd3f34bd597cff59f8485b011eac15cb6113062d17df49c5b649e4c4793ebce6bb76488cc81bf22a7de0f1a37eaeff9b18	common_voice_en_41290089.mp3	f17bdf32c554aa97e27e3c80dd8d8fd17ce1fd93adb72ae0c19306a5d51086a2	See Stellar parallax and List of stars in the Hipparcos Catalogue.		0	2	twenties		United States English		en	
79d543138d8b1a49e9c2e74ff9a129bd3f34bd597cff59f8485b011eac15cb6113062d17df49c5b649e4c4793ebce6bb76488cc81bf22a7de0f1a37eaeff9b18	common_voice_en_41290157.mp3	f152e4124b3f7fe07473e0d4ba964d775c9e44119bcc5febdf803876d0541eb9	Four mechanical seals are required to seal the two shafts.		0	2	twenties		United States English		en	
79d543138d8b1a49e9c2e74ff9a129bd3f34bd597cff59f8485b011eac15cb6113062d17df49c5b649e4c4793ebce6bb76488cc81bf22a7de0f1a37eaeff9b18	common_voice_en_41290225.mp3	f1847eeb871607f35784173eb70574bab40beec7878e2abe618e7f7ce2e69bc7	This mountain has a ski resort, a natural area, and an apple orchard.		0	2	twenties		United States English		en	
acd06804f37daf05c705a62ee5b862d3ea1d87a59a8781610bcc0b1002dafabdff80ad68022741c830982dac66243cf733bdc147d47e5c1511d63ae30deab084	common_voice_en_41302490.mp3	f14925cd51684bd4b6660267989d9671550ca58fff7f6115dffd1c1387db6c57	Unaffiliated programming on leased channels rarely appeared.		0	2	twenties		Indian English 		en	
acd06804f37daf05c705a62ee5b862d3ea1d87a59a8781610bcc0b1002dafabdff80ad68022741c830982dac66243cf733bdc147d47e5c1511d63ae30deab084	common_voice_en_41302515.mp3	f183acb6667bb0350773ce5206353f60db7560d4ba44a208eee021bcb81a885c	"Memoirs" differs from previous albums by being more electronics based.		0	2	twenties		Indian English 		en	
79d543138d8b1a49e9c2e74ff9a129bd3f34bd597cff59f8485b011eac15cb6113062d17df49c5b649e4c4793ebce6bb76488cc81bf22a7de0f1a37eaeff9b18	common_voice_en_41369028.mp3	f198da906343239c1d24d238a92465b35af01f29e72a909905bb077e1b2a9796	The release dates listed below are based on the official website.		0	2	twenties		United States English		en	
79d543138d8b1a49e9c2e74ff9a129bd3f34bd597cff59f8485b011eac15cb6113062d17df49c5b649e4c4793ebce6bb76488cc81bf22a7de0f1a37eaeff9b18	common_voice_en_41376860.mp3	f1940ce7ed8831a728d4b7036f0798772aa5fdf222de3bc44501c95b82c0cdf9	Winning candidates are listed in bold.		0	2	twenties		United States English		en	
d8dbca00b43f34583798e3f982b53bfc3f0b015ab5827e1cddb8e307b474fd1e5dd7c89af61dd9dd29744545bb408b1dbba8cb36c1d224c3121fcedc4d13cb6d	common_voice_en_41397558.mp3	54779ab0475b86261671d65bdb96e345557201b8eeae117593b23f30785b96f8	I have not fallen down a staircase before.		1	2					en	
eb515ef9801bcd6ccc94cad1efe9507a40b7831c47a7e4562240d1ebf3a287f07d1e5c71899b594d6a76b938a1345d7822ea8d96f6eb2c76f967f4a431a3fc84	common_voice_en_41485392.mp3	f1e2adffbb6ae3b2a7853cabce5f726aa670e719d2a5060f67deb3ffccc02867	I would not call a sparrow a large creature.		0	2	fourties		United States English		en	
eb515ef9801bcd6ccc94cad1efe9507a40b7831c47a7e4562240d1ebf3a287f07d1e5c71899b594d6a76b938a1345d7822ea8d96f6eb2c76f967f4a431a3fc84	common_voice_en_41485466.mp3	f1f0528ef6684e3ff29addb7732c8029b37808f2a55ab2da0229280d35438c99	Morin was president of the Canadian Union of Public Employees, Sudbury district.		0	2	fourties		United States English		en	
